date,Price,Open,High,Low,Vol.,Change %
5/3/2025,326.2,313.55,327.3,313.5,10.49M,3.97%
4/3/2025,313.75,311.3,314.9,308,8.73M,-0.21%
3/3/2025,314.4,311.3,317.8,307.7,9.78M,0.95%
28-02-2025,311.45,314,315.65,306.55,21.13M,-1.35%
27-02-2025,315.7,315.35,319.3,314.5,7.30M,-0.94%
25-02-2025,318.7,320.1,321.5,315.75,10.69M,-0.44%
24-02-2025,320.1,322.1,325.4,319.45,6.03M,-1.89%
21-02-2025,326.25,323.3,329.75,321.55,10.81M,0.34%
20-02-2025,325.15,312.55,327.15,311.5,22.89M,3.29%
19-02-2025,314.8,311.2,316.35,310.6,13.08M,1.16%
18-02-2025,311.2,301.15,312.4,297.5,15.79M,2.93%
17-02-2025,302.35,297.5,303.2,292.8,6.46M,0.67%
14-02-2025,300.35,306.85,308.25,298.35,7.45M,-2.07%
13-02-2025,306.7,306.15,308.6,303.1,9.09M,0.15%
12/2/2025,306.25,306.2,307.5,300,7.62M,0.21%
11/2/2025,305.6,312.35,312.35,304.15,13.24M,-1.58%
10/2/2025,310.5,316.5,316.85,309,6.81M,-2.04%
7/2/2025,316.95,313.5,319.25,312.1,8.94M,1.33%
6/2/2025,312.8,322.6,322.7,311.4,13.38M,-2.13%
5/2/2025,319.6,321,323.05,318.4,12.23M,0.16%
4/2/2025,319.1,314.85,320.45,310.3,12.14M,2.52%
3/2/2025,311.25,310.1,314.05,304,15.88M,-2.03%
1/2/2025,317.7,326.05,330.8,316.75,10.10M,-1.94%
31-01-2025,324,322.45,326.25,317.55,13.20M,0.31%
30-01-2025,323,322.25,326.8,321.15,10.38M,0.54%
29-01-2025,321.25,320,322.9,313.3,16.06M,0.94%
28-01-2025,318.25,322.5,323.85,308.15,22.01M,-1.23%
27-01-2025,322.2,323.65,325.05,315,13.80M,-0.45%
24-01-2025,323.65,324.8,329.9,322.1,7.49M,0.00%
23-01-2025,323.65,321,325.1,319.55,6.48M,0.39%
22-01-2025,322.4,327,327,317.35,11.07M,-0.59%
21-01-2025,324.3,337.8,338.25,323.8,12.77M,-3.50%
20-01-2025,336.05,326.2,337,324.55,17.99M,3.04%
17-01-2025,326.15,325.3,329,323.35,7.13M,0.20%
16-01-2025,325.5,324.7,327.3,321.65,14.87M,1.29%
15-01-2025,321.35,312.55,324.3,312.55,21.89M,3.53%
14-01-2025,310.4,300.45,312.7,300.2,22.73M,4.09%
13-01-2025,298.2,301.1,309.95,296.85,29.63M,-3.26%
10/1/2025,308.25,320.35,321,307.6,15.94M,-3.78%
9/1/2025,320.35,324.05,325.95,319.8,12.40M,-1.55%
8/1/2025,325.4,330.5,330.5,321.85,8.99M,-0.97%
7/1/2025,328.6,327,330.35,325.1,13.89M,0.34%
6/1/2025,327.5,341.7,341.7,326.45,10.54M,-3.63%
3/1/2025,339.85,338.05,344.5,337.05,8.69M,0.55%
2/1/2025,338,333.65,338.6,330,16.54M,1.30%
